certifications,company_name,company_url,location_search_page,min_order,price,product_title,product_url,response_rate,years_on_alibaba_search_page
"[""KOSHER"", ""certified"", ""Verified Supplier""]","Qingdao Wyl Imp. & Exp. Co., Ltd.",https://wylfoods.en.alibaba.com/company_profile.html,CN Supplier,Min. order: 12 metric tons,US$680-850,Factory Price Frozen Sweet Corn Cob Frozen Maize,https://www.alibaba.com/product-detail/Factory-Price-Frozen-Sweet-Corn-Cob_1600621675149.html,N/A,11 yrs
[],"Xinghua Mao Sheng Food Co., Ltd.",https://xhmaosheng.en.alibaba.com/company_profile.html,CN Supplier,Min. order: 10 kilograms,US$10-12,Dried Yellow Corn Grains Experienced Fresh FD Yellow Corn Kernel | Wholesale Price,https://www.alibaba.com/product-detail/Dried-Yellow-Corn-Grains-Experienced-Fresh_1601048820605.html?s=p,"5.0
/5.0 (
5 reviews
)",2 yrs
[],SHRI PARVATHI EXPORT INDIA PRIVATE LIMITED,https://speipl.trustpass.alibaba.com/company_profile.html,IN Supplier,Min. order: 100 metric tons,US$290-335,High Protein Yellow Corn Maize for Animals Bulk Stock Feed Grade Grain for Fish Dogs Pigs Cattle Horses Packaged in Bags,https://www.alibaba.com/product-detail/High-Protein-Yellow-Corn-Maize-for_62004905968.html,N/A,8 yrs
[],TERRA BIO NATURALS PRIVATE LIMITED,https://terrabionaturals.trustpass.alibaba.com/company_profile.html,IN Supplier,Min. order: 25 metric tons,US$280-290,Premium Quality Yellow Maize Corn for Animal Feed & Food for Pigs Direct Export From South India Whole Sale Suppliers Low Price,https://www.alibaba.com/product-detail/Premium-Quality-Yellow-Maize-Corn-for_10000021142436.html,N/A,3 yrs
[],LIME GREEN VENTURES,https://in19052592970jwrc.trustpass.alibaba.com/company_profile.html,IN Supplier,Min. order: 25 metric tons,"US$6,176-6,764",Non-GMO Maize Corn with 13% Moisture Dried Protein Content for Human Consumption Cattle Poultry Horse Animal Feed Fungus-Free,https://www.alibaba.com/product-detail/Non-GMO-Maize-Corn-with-13_10000023911789.html,N/A,1 yr
[],Exporio Impex Private Limited,https://in1574555288gmdu.trustpass.alibaba.com/company_profile.html,IN Supplier,Min. order: 24 metric tons,US$275-325,Top Quality Dried Maize Animal Feed Yellow Corn Standard Quality Maize Corn From India for Export Sale,https://www.alibaba.com/product-detail/Top-Quality-Dried-Maize-Animal-Feed_10000027171910.html,N/A,1 yr
[],R.K.TRADERS,https://bellafashion.trustpass.alibaba.com/company_profile.html,IN Supplier,"Min. order: 1,000 kilograms",US$0.32-0.35,Top Selling Non GMO Yellow Maize Corn/ Yellow Corn & White Corn/Air Dried Yellow Maize Corn for Sale,https://www.alibaba.com/product-detail/Top-Selling-Non-GMO-Yellow-Maize_10000016885821.html,N/A,2 yrs
[],KORE INTERNATIONAL,https://koreinternational.trustpass.alibaba.com/company_profile.html,IN Supplier,Min. order: 10 tons,US$200-300,New Crop Corn Maize 100% Natural Fresh Quality Corn Supplier From India,https://www.alibaba.com/product-detail/New-Crop-Corn-Maize-100-Natural_10000016675496.html,N/A,10 yrs
[],APK EXPORTS,https://in19061743875nbhz.trustpass.alibaba.com/company_profile.html,IN Supplier,Min. order: 5 tons,US$280-300,Non GMO Yellow Corn for Animal Feed Grade High Quality Pure Natural yellow Corn Maize Grains Dried yellow corn for Poultry Feed,https://www.alibaba.com/product-detail/Non-GMO-Yellow-Corn-for-Animal_10000025268168.html,N/A,1 yr
[],ECO EXPORT,https://ecoexport.trustpass.alibaba.com/company_profile.html,IN Supplier,"Min. order: 24,000 kilograms",US$0.32-0.37,Natural Yellow Maize Corn,https://www.alibaba.com/product-detail/Natural-Yellow-Maize-Corn_50036670177.html,N/A,11 yrs
[],ARIHANT ENTERPRISES,https://arihantagro.trustpass.alibaba.com/company_profile.html,IN Supplier,Min. order: 10 tons,US$121.05,Wholesale Price Yellow Maize Corn Best Yellow Maize Corn for Animal Feed Bulk Dried Corn,https://www.alibaba.com/product-detail/Wholesale-Price-Yellow-Maize-Corn-Best_10000028979367.html,N/A,1 yr
[],S.A TRADING IMPEX,https://in19038624099tura.trustpass.alibaba.com/company_profile.html,IN Supplier,Min. order: 1 ton,US$275,"High Grade Dried Maize Corn for Export Ideal for Food Processing, Animal Feed, and Industrial Use GMO Free",https://www.alibaba.com/product-detail/High-Grade-Dried-Maize-Corn-for_10000027519756.html,N/A,1 yr
"[""Verified Supplier""]",Noor Al-Eman Rice Traders & Company,https://pk1574315162isbp.trustpass.alibaba.com/company_profile.html,PK Supplier,Min. order: 1 ton,"US$1,200",New Sweet Corn Grain Glutinous Yellow Colorful Organic Corn Wholesale Low Price,https://www.alibaba.com/product-detail/New-Sweet-Corn-Grain-Glutinous-Yellow_10000026053831.html,N/A,1 yr
[],SHREE SHYAM AGRO IMPEX,https://in19019851761muxf.trustpass.alibaba.com/company_profile.html,IN Supplier,Min. order: 100 tons,US$270,Premium Grade Non-GMO Yellow Dried Maize Corn for Human Consumption Food Grade Bulk Export Supply,https://www.alibaba.com/product-detail/Premium-Grade-Non-GMO-Yellow-Dried_10000029836915.html,N/A,1 yr
[],"Qingdao Gewell Import & Export Co., Ltd.",https://geweier.en.alibaba.com/company_profile.html,CN Supplier,Min. order: 5 metric tons,US$500-700,Wholesale Dried Corn Grain Dried Yellow Corn for Food Frozen Corn Kernels,https://www.alibaba.com/product-detail/Wholesale-Dried-Corn-Grain-Dried-Yellow_1601297613145.html,N/A,1 yr
[],TRADE VENTURES,https://tradeventures.trustpass.alibaba.com/company_profile.html,PK Supplier,Min. order: 5 metric tons,US$220-280,Premium Grade Yellow Corn for Food and Feed High Quality Yellow Maize / Corn Wholesale Prices & Fast Delivery,https://www.alibaba.com/product-detail/Premium-Grade-Yellow-Corn-for-Food_10000029962076.html,N/A,1 yr
[],Ranjana Traders,https://in19065771704kezf.trustpass.alibaba.com/company_profile.html,IN Supplier,"Min. order: 1,000 kilograms",US$0.40,"Export Quality Indian Maize Premium 100% Yellow Corn Non-GMO Ideal for Human Consumption, Animal Feed & Food Processing",https://www.alibaba.com/product-detail/Export-Quality-Indian-Maize-Premium-100_10000029609867.html,N/A,1 yr
[],UNK ENTERPRISES,https://pk29152017173rale.trustpass.alibaba.com/company_profile.html,PK Supplier,Min. order: 24 metric tons,US$100-290,White and Yellow Corn Maize Available at Reasonable Price High Quality Customized Packing Yellow Corn Maize Use for Animal Feed,https://www.alibaba.com/product-detail/White-and-Yellow-Corn-Maize-Available_10000023296035.html,N/A,1 yr
[],UKASHA PACIFIC INTERNATIONAL (SMCPRIVATE) LIMITED,https://ukashapacific.trustpass.alibaba.com/company_profile.html,PK Supplier,Min. order: 25 metric tons,US$500-600,Yellow Corn - High Quality Maize Grains Yellow Corn Maize 100% Natural Quality Corn for Human Consumption,https://www.alibaba.com/product-detail/Yellow-Corn-High-Quality-Maize-Grains_11000022472974.html,N/A,1 yr
